retn_code,fdgrp_cd,retn_desc,nutr_no,nutr_desc,retn_factor
0001,01,"CHEESE,BAKED",301,"Calcium, Ca",1.0
0001,01,"CHEESE,BAKED",303,"Iron, Fe",1.0
0001,01,"CHEESE,BAKED",304,"Magnesium, Mg",1.0
0001,01,"CHEESE,BAKED",305,"Phosphorus, P",1.0
0001,01,"CHEESE,BAKED",306,"Potassium, K",1.0
0001,01,"CHEESE,BAKED",307,"Sodium, Na",1.0
0001,01,"CHEESE,BAKED",309,"Zinc, Zn",1.0
0001,01,"CHEESE,BAKED",312,"Copper, Cu",1.0
0001,01,"CHEESE,BAKED",401,"Vitamin C, total ascorbic acid",0.65
0001,01,"CHEESE,BAKED",404,Thiamin,0.75
0001,01,"CHEESE,BAKED",405,Riboflavin,1.0
0001,01,"CHEESE,BAKED",406,Niacin,1.0
0001,01,"CHEESE,BAKED",415,Vitamin B-6,0.75
0001,01,"CHEESE,BAKED",417,"Folate, total",0.8
0001,01,"CHEESE,BAKED",431,Folic acid,0.8
0001,01,"CHEESE,BAKED",432,"Folate, food",0.8
0001,01,"CHEESE,BAKED",421,"Choline, total",0.75
0001,01,"CHEESE,BAKED",418,Vitamin B-12,0.55
0001,01,"CHEESE,BAKED",318,"Vitamin A, IU",1.0
0001,01,"CHEESE,BAKED",392,"Vitamin A, RE",1.0
0001,01,"CHEESE,BAKED",221,"Alcohol, ethyl",1.0
0001,01,"CHEESE,BAKED",321,"Carotene, beta",1.0
0001,01,"CHEESE,BAKED",322,"Carotene, alpha",1.0
0001,01,"CHEESE,BAKED",334,"Cryptoxanthin, beta",1.0
0001,01,"CHEESE,BAKED",337,Lycopene,1.0
0001,01,"CHEESE,BAKED",338,Lutein + zeaxanthin,1.0
0003,01,"CHEESE,BROILED",301,"Calcium, Ca",1.0
0003,01,"CHEESE,BROILED",303,"Iron, Fe",1.0
0003,01,"CHEESE,BROILED",304,"Magnesium, Mg",1.0
0003,01,"CHEESE,BROILED",305,"Phosphorus, P",1.0
